lot_id,species_common,scientific_name,lot_mass_kg,product_form,handling_scenario,prehistory_equivalent_ice_h,baseline_shelf_life_h,target_market_node_id,traceability_status,origin_node_id,min_temp_c,mean_temp_c,max_temp_c,time_above_4c_h,time_above_10c_h,time_above_15c_h,equivalent_ice_age_h,remaining_quality_window_h,logger_missing_intervals,eye_demerit_0_3,gill_demerit_0_3,odor_demerit_0_3,texture_demerit_0_3,mucus_demerit_0_3,belly_burst_flag,total_proxy_0_16,condition_status,risk_score_0_100,recommended_action,candidate_destination_node_id,rationale,human_override_required
PGB-LMR-0001,lemuru,Sardinella lemuru,317.0,whole_fresh,controlled_ice,0.0,168.0,N004,COMPLETE,N001,1.09,1.42,10.0,1.0,0.0,0.0,62.45,105.55,0,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,32.2,HOLD_CHILLED,N004,RSL 105.6 h; sensory 5/16; gaps 0,YES
PGB-LMR-0002,lemuru,Sardinella lemuru,454.0,whole_fresh,delayed_chilling_2h,0.0,168.0,N005,COMPLETE,N001,1.09,2.24,20.41,3.75,2.5,1.75,74.39,93.61,0,1.0,2.0,2.0,1.0,1.0,0,7.0,CHECK,43.2,RE_ICE_AND_ROUTE,N005,RSL 93.6 h; sensory 7/16; gaps 0,YES
PGB-LMR-0003,lemuru,Sardinella lemuru,591.0,whole_fresh,melted_ice,0.0,168.0,N007,COMPLETE,N001,1.09,6.12,11.1,29.0,14.5,0.0,131.74,36.26,0,2.0,3.0,3.0,2.0,2.0,0,12.0,POOR,73.9,DOMESTIC_CHILLED,N007,RSL 36.3 h; sensory 12/16; gaps 0,YES
PGB-LMR-0004,lemuru,Sardinella lemuru,728.0,whole_fresh,loading_excursion,0.0,168.0,N007,COMPLETE,N001,1.09,2.17,17.11,5.0,1.75,0.5,73.67,94.33,0,1.0,2.0,2.0,1.0,1.0,0,7.0,CHECK,42.4,RE_ICE_AND_ROUTE,N007,RSL 94.3 h; sensory 7/16; gaps 0,YES
PGB-LMR-0005,lemuru,Sardinella lemuru,865.0,whole_fresh,warm_auction_delay,0.0,168.0,N008,COMPLETE,N001,1.29,6.01,30.94,10.25,9.0,8.5,108.56,59.44,0,2.0,2.0,3.0,2.0,2.0,0,11.0,POOR,66.1,MANUAL_INSPECTION,N008,RSL 59.4 h; sensory 11/16; gaps 0,YES
PGB-LMR-0006,lemuru,Sardinella lemuru,1002.0,whole_fresh,reice_recovery,0.0,168.0,N002,PARTIAL,N001,0.89,2.76,21.88,6.75,3.75,2.5,81.97,86.03,0,1.0,2.0,2.0,1.0,1.0,0,7.0,CHECK,47.1,RE_ICE_AND_ROUTE,N002,RSL 86 h; sensory 7/16; gaps 0,YES
PGB-LMR-0007,lemuru,Sardinella lemuru,1139.0,frozen,logger_gap,0.0,168.0,N018,COMPLETE,N001,-18.1,-14.66,12.0,1.25,0.0,0.0,33.78,134.22,12,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,27.5,PROCESS_EXPORT_CANDIDATE,N018,RSL 134.2 h; sensory 5/16; gaps 12,YES
PGB-LMR-0008,lemuru,Sardinella lemuru,1276.0,frozen,freezer_transfer,0.0,168.0,N019,COMPLETE,N001,-18.1,-14.79,7.0,0.5,0.0,0.0,34.32,133.68,0,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,24.0,PROCESS_EXPORT_CANDIDATE,N019,RSL 133.7 h; sensory 5/16; gaps 0,YES
PGB-LMR-0009,lemuru,Sardinella lemuru,1413.0,processed,controlled_ice,0.0,168.0,N020,COMPLETE,N001,-18.1,-14.71,10.0,1.0,0.0,0.0,35.13,132.87,0,1.0,1.0,1.0,1.0,1.0,0,5.0,NORMAL,23.2,PROCESS_EXPORT_CANDIDATE,N020,RSL 132.9 h; sensory 5/16; gaps 0,YES
PGB-LMR-0010,lemuru,Sardinella lemuru,1550.0,whole_fresh,delayed_chilling_2h,0.0,168.0,N007,COMPLETE,N001,1.09,2.25,20.91,3.75,2.5,1.75,74.43,93.57,0,1.0,2.0,2.0,1.0,1.0,0,7.0,CHECK,43.2,RE_ICE_AND_ROUTE,N007,RSL 93.6 h; sensory 7/16; gaps 0,YES
PGB-LMR-0011,lemuru,Sardinella lemuru,1687.0,whole_fresh,melted_ice,0.0,168.0,N011,COMPLETE,N001,1.1,6.11,11.1,29.25,14.25,0.0,131.71,36.29,0,2.0,3.0,3.0,2.0,2.0,0,12.0,POOR,73.9,DOMESTIC_CHILLED,N011,RSL 36.3 h; sensory 12/16; gaps 0,YES
PGB-LMR-0012,lemuru,Sardinella lemuru,1824.0,whole_fresh,loading_excursion,0.0,168.0,N002,PARTIAL,N001,1.09,2.16,16.51,4.75,1.75,0.5,73.44,94.56,0,1.0,2.0,2.0,1.0,1.0,0,7.0,CHECK,42.4,RE_ICE_AND_ROUTE,N002,RSL 94.6 h; sensory 7/16; gaps 0,YES
